distance,physical_error_rate,num_shots,num_correct
1,0.002,10000,9317
1,0.004,10000,8755
1,0.006,10000,8418
1,0.008,10000,7884
1,0.01,10000,7496
2,0.002,10000,9801
2,0.004,10000,9534
2,0.006,10000,9261
2,0.008,10000,9008
2,0.01,10000,8745
3,0.002,10000,9995
3,0.004,10000,9958
3,0.006,10000,9891
3,0.008,10000,9778
3,0.01,10000,9599
4,0.002,10000,9996
4,0.004,10000,9988
4,0.006,10000,9968
4,0.008,10000,9916
4,0.01,10000,9858
1,0.02,10000,6316
1,0.025,10000,5958
1,0.03,10000,5577
1,0.04,10000,5363
1,0.045,10000,5286
2,0.02,10000,7387
2,0.025,10000,6700
2,0.03,10000,6229
2,0.04,10000,5506
2,0.045,10000,5278
3,0.02,10000,8223
3,0.025,10000,7278
3,0.03,10000,6591
3,0.04,10000,5561
3,0.045,10000,5292
4,0.02,10000,8610
4,0.025,10000,7578
4,0.03,10000,6584
4,0.04,10000,5387
4,0.045,10000,5149
